Model,CV_AUC_Mean,CV_AUC_Std,Test_Accuracy,Test_ROC_AUC,Test_F1
RandomForest,0.9765214006187637,0.009392668244467774,0.8524590163934426,0.8940568475452196,0.9032258064516129
ExtraTrees,0.9595213801298994,0.019486508603287475,0.819672131147541,0.8708010335917313,0.8791208791208791
GradientBoosting,0.9761026082324257,0.004873083063599454,0.8688524590163934,0.8837209302325582,0.9130434782608695
XGBoost,0.9763177413075994,0.007080271780617375,0.8360655737704918,0.8772609819121446,0.8913043478260869
LightGBM,0.9769131477042226,0.005342073498719182,0.8360655737704918,0.8669250645994832,0.8913043478260869
CatBoost,0.9795484254307784,0.0035207902260799805,0.8688524590163934,0.8966408268733849,0.9130434782608695
Stacking,,,0.8688524590163934,0.9237726098191215,0.9111111111111111
Calibrated_Stacking,,,0.8688524590163934,0.9134366925064599,0.9130434782608695
