iter	Logloss
0	0.6712173401
1	0.6549566397
2	0.6354546835
3	0.6186624988
4	0.6056902399
5	0.5984415811
6	0.591096412
7	0.5866950223
8	0.5783919097
9	0.5734423421
10	0.5997238855
11	0.5957875861
12	0.5905370632
13	0.5868683555
14	0.584035312
15	0.5818994579
16	0.5772828291
17	0.5753574691
18	0.570379598
19	0.56882434
20	0.5660954723
21	0.5639330501
22	0.5619422126
23	0.5600000311
24	0.5576601841
25	0.5560745217
26	0.5536565903
27	0.5522245607
28	0.5508192745
29	0.5494869751
30	0.5476786757
31	0.5463939632
32	0.5448837914
33	0.5434953645
34	0.5423471216
35	0.5406615785
36	0.5392609404
37	0.5379175405
38	0.5368518895
39	0.5356729052
40	0.5344518719
41	0.533484873
42	0.5324023356
43	0.5304909087
44	0.5296593858
45	0.5285409817
46	0.5273750502
47	0.5249335823
48	0.5239282993
49	0.5227006554
50	0.5217844609
51	0.5205923015
52	0.5197769217
53	0.5185287994
54	0.5176023609
55	0.5165369749
56	0.5150872572
57	0.5144407391
58	0.5134008284
59	0.5123317452
60	0.5113335004
61	0.5096801768
62	0.5086359846
63	0.5064617527
64	0.5056418461
65	0.5045141297
66	0.5039792851
67	0.5031686914
68	0.5023676425
69	0.501769338
70	0.500874904
71	0.4988470723
72	0.4976088906
73	0.4970023688
74	0.4958029933
75	0.4948133465
76	0.4941150555
77	0.4928471961
78	0.4920431629
79	0.490830133
80	0.4894918162
81	0.4885588755
82	0.4877547661
83	0.4866648343
84	0.4858438601
85	0.485246548
86	0.4844829963
87	0.4831051491
88	0.4819773596
89	0.4813393774
90	0.4802764131
91	0.4791934254
92	0.4782591504
93	0.47761563
94	0.4768144624
95	0.4759263899
96	0.4748146287
97	0.47416297
98	0.473410747
99	0.4726204283
100	0.4719109764
101	0.4709657393
102	0.4709540287
103	0.4703710305
104	0.4697480156
105	0.4689173021
106	0.4684195692
107	0.4674166533
108	0.4663100149
109	0.4657785655
110	0.4643603188
111	0.4640460688
112	0.4630784876
113	0.4624329338
114	0.4614121666
115	0.4607762452
116	0.4599842055
117	0.4591155911
118	0.4580872988
119	0.4571730161
120	0.4563259856
121	0.4555369218
122	0.4548687154
123	0.4540608138
124	0.4532416096
125	0.4524683846
126	0.4516045975
127	0.450852313
128	0.4503075933
129	0.4493902507
130	0.4485534646
131	0.4478404307
132	0.4471218518
133	0.4465565144
134	0.445688743
135	0.4447298214
136	0.4439147167
137	0.4434192769
138	0.442924027
139	0.4421949924
140	0.4414097297
141	0.4405879255
142	0.4397564899
143	0.4389665811
144	0.4380693625
145	0.437358101
146	0.4369563891
147	0.4365460632
148	0.4358166008
149	0.4348804665
150	0.4344356943
151	0.4338688128
152	0.4334024191
153	0.432787897
154	0.4321909834
155	0.4316124053
156	0.4311194832
157	0.430366991
158	0.4297101347
159	0.4291913546
160	0.4285685834
161	0.4276577921
162	0.4269391424
163	0.4263815248
164	0.4256392827
165	0.4248483206
166	0.4244099511
167	0.4236924025
168	0.4228177891
169	0.4220141517
170	0.421304833
171	0.4205384775
172	0.4197773221
173	0.4191897295
174	0.4183486169
175	0.4175760136
176	0.4168612401
177	0.41588377
178	0.4151051575
179	0.4141451607
180	0.4135975881
181	0.4130873289
182	0.4123397684
183	0.4116378942
184	0.4109328594
185	0.4103373713
186	0.4096341737
187	0.4086144143
188	0.4080893028
189	0.4072565108
190	0.4065464659
191	0.4056334925
192	0.4047716287
193	0.4040112162
194	0.4032520857
195	0.4025006685
196	0.4017148134
197	0.4011213494
198	0.4004760409
199	0.4000204531
200	0.399447912
201	0.3987213991
202	0.3982688317
203	0.3971943993
204	0.3961636636
205	0.395568437
206	0.3947441349
207	0.3941338027
208	0.393540922
209	0.3930309337
210	0.3923220377
211	0.3916972314
212	0.3907733783
213	0.3900753639
214	0.3895477245
215	0.3889604501
216	0.3881568708
217	0.3875739128
218	0.3868520739
219	0.3862192858
220	0.3855586886
221	0.3850934137
222	0.3846481313
223	0.3838894367
224	0.3829419318
225	0.382172986
226	0.3813309865
227	0.3808086955
228	0.3799990838
229	0.3793798432
230	0.3789147818
231	0.3782182703
232	0.3775410709
233	0.3768539429
234	0.3762563925
235	0.375444584
236	0.374659364
237	0.3741438577
238	0.3736590066
239	0.37326353
240	0.372419423
241	0.371600692
242	0.3712194492
243	0.3707014807
244	0.3701295813
245	0.3696254531
246	0.3689064147
247	0.3676731568
248	0.3669188868
249	0.3661650593
250	0.3652757622
251	0.3647485388
252	0.3639020119
253	0.3632828741
254	0.3628565697
255	0.3623665199
256	0.3617363775
257	0.3611747002
258	0.3607888208
259	0.3601246047
260	0.3594599658
261	0.3588105941
262	0.3582411761
263	0.3573850664
264	0.3567605123
265	0.3559636871
266	0.3552575546
267	0.3546889303
268	0.3541100236
269	0.3537153726
270	0.3531160922
271	0.3526788211
272	0.3519704536
273	0.3513858521
274	0.3508061227
275	0.3503079635
276	0.349818613
277	0.3494030773
278	0.348893474
279	0.3482480275
280	0.3477505421
281	0.3470077259
282	0.3461038632
283	0.3455203813
284	0.3446910128
285	0.3440725987
286	0.3431432301
287	0.3426156176
288	0.3422881677
289	0.3418115543
290	0.3414411118
291	0.3410038011
292	0.3405403485
293	0.3401716394
294	0.3396786759
295	0.3391420259
296	0.3384741575
297	0.3377478764
298	0.3373411651
299	0.3368441604
65
8708
